Company,ContactName,Country,Email,Category,Priority,Status,SentDate
SolarPower Europe,ESG Partnership Team,Belgium,info@solarpowereurope.org,manufacturer,1,pending,
European Solar Manufacturing Council (ESMC),Director of Relations,Belgium,info@esmc.solar,manufacturer,1,pending,
PV Cycle Association,Operations Director,Belgium,info@pvcycle.org,recycler,1,pending,
Soren,Compliance Manager,France,contact@soren.eco,recycler,2,pending,
Solarwatt GmbH,Sustainability Lead,Germany,info@solarwatt.de,manufacturer,2,pending,
AXITEC Solar,ESG Director,Germany,info@axitecsolar.com,manufacturer,2,pending,
LUXOR Solar GmbH,Product Life Cycle Team,Germany,info@luxorsolar.com,manufacturer,2,pending,
ROSI Solar,Partnerships Team,France,contact@rosi-solar.com,recycler,2,pending,
Reiling PV-Recycling GmbH,Operations Manager,Germany,info@reiling.de,recycler,2,pending,
Veolia Environmental Services,CSR Director,France,info@veolia.com,recycler,3,pending,
DHL Global Forwarding (CSR Division),Head of CSR,Germany,csr@dhl.com,logistics,2,pending,
DB Schenker (Humanitarian Logistics),CSR Coordinator,Germany,csr@dbschenker.com,logistics,2,pending,
King Baudouin Foundation (KBF),Grants Officer,Belgium,info@kbf-us.org,fund,2,pending,
Erste Foundation,Foundation Secretariat,Austria,office@erstestiftung.org,fund,3,pending,
test_manufacturer,Test Mfg Contact,Germany,test_mfg@localhost,manufacturer,2,pending,
test_recycler,Test Recy Contact,France,test_rec@localhost,recycler,2,pending,
test_logistics,Test Logi Contact,Poland,test_log@localhost,logistics,2,pending,
test_fund,Test Fund Contact,Belgium,test_fund@localhost,fund,2,pending,
